school_id,school_name,ccd_latitude,ccd_longitude,candidate_latitude,candidate_longitude,candidate_distance_m,candidate_name_similarity,candidate_display_name,decision,manual_latitude,manual_longitude,chip_half_size_m,notes
010282001124,Wedowee Middle School,33.313157,-85.495877,,,,,,ccd,,,350,"CCD pin is clearly on the Wedowee Middle School campus and a 700m x 700m crop should adequately cover the school and nearby likely athletic facilities."
040963000996,Kofa High School,32.6743,-114.636,32.6731379,-114.6366967,144.741816340892,100.0,"Kofa High School, East Main Canal Linear Park, Yuma, Yuma County, Arizona, 85364, United States",ccd,,,550,"CCD is verified at Kofa High School's official 3100 S Avenue A address; the nearby 3150 S Avenue A complex includes separate district/Vista facilities."
060483000471,Beverly Hills High,34.061692,-118.412181,34.0612109,-118.4111268,110.87089683853216,100.0,"Beverly Hills High School, 241, Moreno Drive, Beverly Hills, Los Angeles County, California, 90212, United States",ccd,,,350,"CCD is clearly on the verified Beverly Hills High School campus, and the candidate is only approx 111 m away without materially improving crop coverage."
061734009378,Cerra Vista Elementary,36.829411,-121.372331,,,,,,ccd,,,350,"CCD is clearly on Cerra Vista Elementary's verified 2151 Cerra Vista Dr campus and a 700m × 700m crop comfortably covers the school and athletic/play areas."
060001909278,Wells Middle,37.711839,-121.918954,37.710138,-121.9195045,195.2436388798209,100.0,"Wells Middle School Field, Dougherty, Dublin, Alameda County, California, United States",ccd,,,350,"CCD is on the verified Wells Middle School campus; the candidate shifts south onto the athletic/open-space portion and does not improve overall campus centering."
130333001308,Lincoln County Elementary School,33.796652,-82.49178,33.7965141,-82.4915184,28.626342500364416,100.0,"Lincoln County Elementary School, Rowland-York Drive, Lincolnton, Lincoln County, Georgia, United States",ccd,,,350,"CCD and candidate are only ~29 m apart on the same Lincoln County Elementary School building, so CCD is preferred."
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,42.898474,-112.47438,,,,,,ccd,,,450,"CCD is directly on the verified Claude A. Wilcox Elementary campus at 427 Lark Lane and comfortably centers the school and its grounds."
160000100084,PRIEST RIVER LAMANNA HIGH,48.189478,-116.917391,,,,,,ccd,,,350,"CCD is directly on the verified Priest River Lamanna campus, and the adjacent football/track complex is documented as part of the school."
180283000341,Zionsville Community High School,39.9611,-86.274,39.9610454,-86.2738541,13.837875434533236,100.0,"Zionsville Community High School, 1000, Mulberry Street, Northern Meadows, Zionsville, Boone County, Indiana, 46077, United States",ccd,,,450,"CCD and candidate are only approx 14 m apart on the verified Zionsville Community High School building; CCD, with a larger crop for the extensive athletic complex."
240039000683,Bel Air High,39.531077,-76.348008,39.5295304,-76.3468871,197.01921375082804,100.0,"Bel Air High School, 100, Heighe Street, Bel Air, Harford County, Maryland, 21014, United States",ccd,,,450,"CCD is on the verified Bel Air High School campus; the candidate is approx 197 m south on its athletic complex, so CCD better balances the school buildings and athletics."
263039006679,Thompson Middle School,43.4324,-83.986401,43.4323588,-83.9864942,8.81048109347061,100.0,"Willie E. Thompson Middle School, 3021, Court Street, Saginaw, Carrollton Township, Saginaw County, Michigan, 48602, United States",ccd,,,350,"CCD and candidate are only approx 9 m apart on the same Thompson Middle School building, so CCD is preferred."
270543000204,Bertha Secondary,46.263877,-95.062093,46.2638849,-95.0621616,5.3461774087087,100.0,"Bertha Secondary, 310, Central Avenue, Bertha, Todd County, Minnesota, 56437, United States",ccd,,,350,"CCD and candidate are only ~5 m apart on the same Bertha-Hewitt school building, so CCD is preferred."
330246000063,Rundlett Middle School,43.189478,-71.543379,43.189599,-71.5441474,63.731840707856506,100.0,"Rundlett Middle School, Cypress Street, South End, Concord, Merrimack County, New Hampshire, 03301, United States",ccd,,,350,"CCD and candidate are only approx 64 m apart on the same Rundlett Middle School campus, so CCD is preferred."
341560004108,Spring Lake Heights Elementary School,40.154128,-74.036948,40.1543126,-74.0367933,24.37623887045004,100.0,"Spring Lake Heights Elementary School, Brighton Avenue, Spring Lake Heights, Monmouth County, New Jersey, 07762, United States",ccd,,,350,"CCD and candidate are only approx 24 m apart on the same Spring Lake Heights Elementary School building, so CCD is preferred."
360008802312,PS 78 ANNE HUTCHINSON,40.8786,-73.8507,,,,,,ccd,,,350,"CCD is directly on the P.S. 78 Anne Hutchinson school building and a 700m × 700m crop comfortably covers the compact urban campus."
390494903613,Adena Elementary School,39.41589,-83.193859,,,,,,manual,39.315917,-84.385294,350,"CCD points to Adena Middle/High School near Frankfort; manual coordinates center the actual Adena Elementary School campus at 9316 Minuteman Way."
390458502363,Ridgeview Elementary School,41.874048,-80.763807,41.8740583,-80.7639179,9.253384095558056,100.0,"Ridgeview Elementary School, 3456, Liberty Street, Ashtabula, Ashtabula Township, Ashtabula County, Ohio, 44004, United States",ccd,,,350,"CCD and candidate are only approx 9 m apart on the same Ridgeview Elementary School building, so CCD is preferred."
