school_id,school_name,imagery_date,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_count,portable_count_confidence,fence_extent,fence_extent_confidence,fence_type,fence_type_confidence,track_present,track_present_confidence,sports_fields_count,sports_fields_count_confidence,hard_courts_count,hard_courts_count_confidence,pool_present,pool_present_confidence,review_required,failure_notes
010282001124,Wedowee Middle School,2023-10-07,False,0.9,0.0,0.9,0,0.7,unmeasurable,0.1,unknown,0.1,False,0.7,1,0.7,0,0.7,False,0.7,True,Fence extent changed from none to unmeasurable because the visible perimeter was insufficient. | Campus boundary/feature ownership was not clearly observable.
040963000996,Kofa High School,2023-06-17,False,0.9,0.0,0.9,0,0.9,partial,0.7,chain-link,0.7,True,0.9,3,0.7,5,0.7,True,0.9,False,
060483000471,Beverly Hills High,2022-05-11,False,0.9,0.0,0.9,0,0.9,full,0.9,unknown,0.1,True,0.9,1,0.7,9,0.7,False,0.9,True,
061734009378,Cerra Vista Elementary,2022-05-14,False,0.9,0.0,0.9,0,0.9,full,0.9,chain-link,0.7,False,0.9,2,0.7,4,0.7,False,0.9,False,
060001909278,Wells Middle,2022-05-19,False,0.9,0.0,0.9,0,0.9,full,0.9,chain-link,0.9,True,0.9,1,0.7,6,0.7,False,0.9,False,
130333001308,Lincoln County Elementary School,2023-10-03,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,0,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
160264000465,CLAUDE A WILCOX ELEMENTARY SCHOOL,2023-07-14,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,0,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
160000100084,PRIEST RIVER LAMANNA HIGH,2023-10-30,False,0.9,0.0,0.9,0,0.7,partial,0.4,chain-link,0.4,True,0.7,1,0.7,0,0.7,False,0.7,True,Campus boundary/feature ownership was not clearly observable.
180283000341,Zionsville Community High School,2022-06-21,False,0.9,0.0,0.9,0,0.7,unmeasurable,0.1,unknown,0.1,True,0.7,3,0.7,0,0.7,False,0.7,True,Fence extent changed from none to unmeasurable because the visible perimeter was insufficient. | Campus boundary/feature ownership was not clearly observable.
240039000683,Bel Air High,2023-05-27,True,0.7,5630.3,0.4,0,0.9,partial,0.7,chain-link,0.7,True,0.9,3,0.7,6,0.7,False,0.9,True,Positive rooftop-solar detection requires mounting-context review.
263039006679,Thompson Middle School,2022-08-11,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,1,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
270543000204,Bertha Secondary,2023-07-26,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,3,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
330246000063,Rundlett Middle School,2023-08-31,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,2,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
341560004108,Spring Lake Heights Elementary School,2023-08-09,True,0.7,5416.9,0.4,0,0.9,none,0.4,unknown,0.1,False,0.9,2,0.7,2,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery. | Positive rooftop-solar detection requires mounting-context review.
360008802312,PS 78 ANNE HUTCHINSON,2022-09-15,False,0.9,0.0,0.9,0,0.7,unmeasurable,0.1,unknown,0.1,False,0.7,0,0.7,0,0.7,False,0.7,True,Fence extent changed from none to unmeasurable because the visible perimeter was insufficient. | Campus boundary/feature ownership was not clearly observable.
