evaluation_split,confidence,n,schools,observed_accuracy,gap_conf_minus_accuracy,absolute_calibration_gap
all,0.1,8,7,0.0,0.1,0.1
all,0.4,5,5,0.0,0.4,0.4
all,0.7,22,9,0.6818181818181818,0.018181818181818188,0.018181818181818188
all,0.9,31,9,0.967741935483871,-0.06774193548387097,0.06774193548387097
development,0.1,1,1,0.0,0.1,0.1
development,0.7,6,3,0.8333333333333334,-0.13333333333333341,0.13333333333333341
development,0.9,13,3,1.0,-0.09999999999999998,0.09999999999999998
reporting,0.1,7,6,0.0,0.1,0.1
reporting,0.4,5,5,0.0,0.4,0.4
reporting,0.7,16,6,0.625,0.07499999999999996,0.07499999999999996
reporting,0.9,18,6,0.9444444444444444,-0.0444444444444444,0.0444444444444444
